,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
87,118.0,6.6,172436487.06292695,456114543.53706014,34439493.35792595,1,1,0,1,0,0,0
88,164.0,8.0,179749718.86220932,251483515.72362414,31823591.737079147,0,1,0,0,0,1,0
89,132.0,7.2,162896715.6896261,147153172.5302073,23074465.06369548,0,1,0,0,0,1,0
90,128.0,8.0,283192517.1664014,1628589916.6682086,142375705.53062734,1,1,1,0,0,0,0
91,130.0,7.9,174891618.35241985,826346163.4737879,119261498.72699985,1,1,0,0,1,0,0
92,97.0,6.9,181800974.94354293,766126210.8527327,70125987.04442035,1,1,0,1,0,0,0
93,133.0,7.2,178213877.25621182,803669721.7459112,73665089.32369125,1,1,0,0,1,0,0
94,91.0,6.2,203410730.16804227,289957342.2690618,55486105.500812456,0,0,0,0,1,0,0
95,110.0,6.2,178213877.25621182,345439903.6544097,38145547.77849447,1,1,0,0,1,0,0
96,126.0,7.5,191968233.15820682,192019194.3251692,12120133.03093115,1,1,0,1,0,0,0
97,129.0,6.4,174891618.35241985,208993886.58769414,16524949.364941424,0,1,0,0,1,0,0
98,127.0,5.3,179000000.0,181982519.0,18372372.0,1,1,0,0,1,0,0
99,136.0,6.9,176233723.06447613,537153997.9429466,65116936.94146008,1,1,0,0,1,0,0
100,113.0,5.6,168888206.799814,500374687.50048184,43078063.473738655,0,0,0,0,1,0,0
101,136.0,7.9,179780964.1108369,370701257.75852287,29048004.235645168,0,1,0,0,1,0,0
102,124.0,6.8,163115595.8703363,1053006606.0837634,143013624.1089735,1,1,0,0,1,0,0
104,95.0,8.1,175000000.0,853003563.0000001,90440272.0,0,1,0,1,0,0,0
105,123.0,5.9,173263491.7768726,738345024.056423,132355731.86892483,1,1,0,0,1,0,0
106,105.0,8.4,170033517.84263042,775028733.1868842,49360832.24982631,0,1,0,1,0,0,0
107,95.0,6.4,192803115.44300812,420517234.2244532,65355953.87137516,1,1,0,1,0,0,0
108,109.0,6.7,170033517.84263042,372656504.052848,52165000.73558443,1,1,1,0,0,0,0
109,118.0,5.7,192803115.44300812,333239821.7290525,60279118.42386636,0,0,0,0,1,0,0
110,107.0,4.9,240127485.68549976,303561394.13385785,37991576.673585735,1,0,0,0,1,0,0
111,111.0,5.2,194038896.1230273,449904377.99789244,44859320.17371046,1,0,0,0,1,0,0
112,96.0,5.4,197760432.10781887,196778782.0945644,35249514.40555904,1,1,0,1,0,0,0
113,135.0,6.3,255085244.12232092,385173208.7834316,30860620.970308986,1,1,0,0,1,0,0
114,103.0,5.6,161014498.21558166,231318609.12301576,20098331.11242049,1,1,0,1,0,0,0
115,126.0,6.7,170033517.84263042,135667641.3007342,14935034.924622227,0,0,0,0,1,0,0
116,127.0,6.2,180055998.5843804,156100129.29638118,10196632.933318691,0,0,0,0,1,0,0
117,128.0,6.1,161297725.59532794,1241360584.2678027,3605478.5721308603,0,0,0,0,1,0,0
118,121.0,8.0,171700920.78001276,778595394.3211854,95264602.70519914,0,0,0,0,1,0,0
119,125.0,6.9,185070295.68260267,676221156.3374575,139480383.86581382,1,1,0,0,1,0,0
